State,Period,Coronavirus,COVID,Toilet Paper,Taste Loss,Hand Sanitizer,Fever,Zoom,Bats,Quarantine,Pandemic,Face Mask,Coronavirus Testing,Cough,Restaurants,Lockdown
Virginia,2,61,58,57,30,70,60,57,50,30,41,56,39,66,63,39
Virginia,3,49,42,48,15,55,65,59,62,33,55,16,25,68,74,56
Washington,0,75,56,66,4,52,61,76,80,49,70,45,6,72,68,58
Washington,1,81,76,52,23,70,69,68,73,79,78,41,61,84,69,89
Washington,2,66,67,58,30,57,55,63,60,33,33,86,33,65,52,51
Washington,3,57,53,60,9,56,56,71,55,36,48,16,32,65,60,100
West Virginia,0,45,64,64,25,47,100,44,72,19,34,23,0,98,53,37
West Virginia,1,100,70,49,13,87,85,32,74,57,77,37,55,96,72,50
West Virginia,2,72,63,60,37,65,72,33,85,20,63,74,40,87,56,26
West Virginia,3,62,56,76,10,44,82,40,74,30,56,38,18,82,55,31
Wisconsin,0,58,22,50,10,41,73,56,71,36,45,28,8,90,76,41
Wisconsin,1,89,77,42,24,77,69,56,78,69,82,38,44,78,87,76
Wisconsin,2,66,68,66,32,62,60,41,77,24,28,58,39,63,68,38
Wisconsin,3,75,76,51,60,55,86,50,58,46,48,12,55,88,64,43
Wyoming,0,57,0,75,0,24,89,57,46,44,40,34,0,97,62,66
Wyoming,1,100,88,58,38,76,81,68,71,67,60,38,34,93,66,44
Wyoming,2,66,66,60,43,54,47,40,59,28,20,52,16,56,100,31
Wyoming,3,81,63,100,60,55,90,42,87,52,27,0,32,57,65,28
